City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Colares,PT,2021-09-28 23:55:37,38.7992,-9.4469,64.29,69,2,14.0
109,Laguna,US,2021-09-28 23:55:37,38.421,-121.4238,82.87,15,1,8.01
110,Nikolskoye,RU,2021-09-28 23:55:37,59.7035,30.7861,47.88,68,100,3.11
111,Tabou,CI,2021-09-28 23:55:38,4.423,-7.3528,77.5,87,99,5.12
112,Shelburne,CA,2021-09-28 23:55:38,44.0787,-80.2041,55.8,78,37,6.15
113,Torbat-E Jam,IR,2021-09-28 23:55:38,35.244,60.6225,64.54,39,0,7.87
114,Cape Town,ZA,2021-09-28 23:55:38,-33.9258,18.4232,60.28,71,20,14.97
115,Salinopolis,BR,2021-09-28 23:52:24,-0.6136,-47.3561,78.08,83,7,9.55
116,Gillette,US,2021-09-28 23:55:39,44.2911,-105.5022,81.68,22,96,1.01
117,Surazh,RU,2021-09-28 23:55:39,53.0175,32.3918,42.12,86,79,6.04
118,Kaitangata,NZ,2021-09-28 23:55:39,-46.2817,169.8464,57.92,52,40,10.69
119,Turkistan,KZ,2021-09-28 23:55:40,43.0,68.0,57.78,60,22,9.69
120,Bathsheba,BB,2021-09-28 23:55:40,13.2167,-59.5167,81.21,83,40,4.61
121,Vila Franca Do Campo,PT,2021-09-28 23:55:40,37.7167,-25.4333,75.2,91,34,4.85
122,Grants,US,2021-09-28 23:55:41,35.1473,-107.8514,55.63,88,90,4.61
123,Port Alfred,ZA,2021-09-28 23:55:13,-33.5906,26.891,58.64,85,82,11.12
124,Kalmunai,LK,2021-09-28 23:55:41,7.4167,81.8167,80.58,66,99,2.91
125,Coihaique,CL,2021-09-28 23:55:41,-45.5752,-72.0662,48.15,57,75,5.75
126,Shahr-E Kord,IR,2021-09-28 23:55:41,32.3256,50.8644,42.57,33,0,2.3
127,Sabla,NG,2021-09-28 23:55:42,12.7525,4.7077,80.53,61,7,8.93
128,Xingyi,CN,2021-09-28 23:55:42,24.1877,102.817,61.61,90,94,1.86
129,Longyearbyen,SJ,2021-09-28 23:55:42,78.2186,15.6401,37.24,70,90,14.97
130,Makakilo City,US,2021-09-28 23:55:43,21.3469,-158.0858,82.29,76,75,13.8
131,Gainesville,US,2021-09-28 23:53:16,29.6516,-82.3248,77.09,72,13,3.31
132,Svolvaer,NO,2021-09-28 23:55:43,68.2342,14.5683,52.5,78,100,6.96
133,Tandil,AR,2021-09-28 23:55:43,-37.3217,-59.1332,45.72,74,26,6.51
134,Qax,AZ,2021-09-28 23:55:43,41.4225,46.9242,56.39,80,37,2.04
135,Cidreira,BR,2021-09-28 23:55:11,-30.1811,-50.2056,64.22,95,100,4.63
136,Norman Wells,CA,2021-09-28 23:55:44,65.282,-126.8329,30.24,93,90,16.11
137,Allapalli,IN,2021-09-28 23:55:44,19.4167,80.0667,72.61,99,97,2.77
138,Grand Forks,US,2021-09-28 23:55:44,47.9417,-97.4337,89.53,29,1,13.8
139,Pevek,RU,2021-09-28 23:55:45,69.7008,170.3133,23.22,83,95,3.36
140,Hambantota,LK,2021-09-28 23:55:45,6.1241,81.1185,79.14,89,75,9.22
141,Namibe,AO,2021-09-28 23:55:46,-15.1961,12.1522,64.33,84,95,3.0
142,Arraial Do Cabo,BR,2021-09-28 23:53:14,-22.9661,-42.0278,73.36,83,0,18.41
143,Mandalgovi,MN,2021-09-28 23:55:46,45.7625,106.2708,34.32,75,68,3.8
144,Poum,NC,2021-09-28 23:55:46,-20.2333,164.0167,74.07,73,59,13.98
145,Malanje,AO,2021-09-28 23:55:46,-9.5402,16.341,67.17,72,36,5.93
146,Portland,US,2021-09-28 23:52:12,45.5234,-122.6762,63.41,82,75,1.01
147,Nanortalik,GL,2021-09-28 23:55:36,60.1432,-45.2371,37.54,62,1,5.23
148,Akureyri,IS,2021-09-28 23:55:47,65.6835,-18.0878,35.53,75,75,23.02
149,Luderitz,NA,2021-09-28 23:55:47,-26.6481,15.1594,54.3,82,6,16.8
150,Forbes,AU,2021-09-28 23:55:47,-33.3833,148.0167,57.67,93,100,14.16
151,Maniitsoq,GL,2021-09-28 23:55:48,65.4167,-52.9,33.03,58,1,7.94
152,Koungou,YT,2021-09-28 23:55:48,-12.7336,45.2042,74.91,83,0,2.3
153,Esperance,AU,2021-09-28 23:55:48,-33.8667,121.9,51.64,82,99,9.73
154,Te Anau,NZ,2021-09-28 23:55:49,-45.4167,167.7167,48.7,87,87,6.31
155,Muros,ES,2021-09-28 23:55:49,42.7762,-9.0603,61.84,93,32,1.52
156,Arbuzynka,UA,2021-09-28 23:55:49,47.9097,31.3196,51.37,72,100,8.97
157,Tasiilaq,GL,2021-09-28 23:55:49,65.6145,-37.6368,25.32,53,94,4.21
158,Lata,PT,2021-09-28 23:55:50,40.1629,-8.3327,58.82,94,4,3.18
159,Kenora,CA,2021-09-28 23:55:14,49.8167,-94.4337,75.18,56,20,6.91
160,Puerto Ayora,EC,2021-09-28 23:55:50,-0.7393,-90.3518,69.96,86,79,7.63
161,Teya,RU,2021-09-28 23:55:50,60.3778,92.6267,35.55,75,100,2.3
162,Nizhniy Tsasuchey,RU,2021-09-28 23:55:51,50.5167,115.1333,36.18,59,27,13.78
163,Kulhudhuffushi,MV,2021-09-28 23:55:51,6.6221,73.07,81.93,77,45,15.19
164,Ugrinovci,RS,2021-09-28 23:55:52,44.8783,20.1869,63.28,90,40,2.3
165,Keti Bandar,PK,2021-09-28 23:55:52,24.1447,67.4497,84.61,75,91,9.22
166,Rafaela,AR,2021-09-28 23:55:52,-31.2503,-61.4867,63.05,74,37,4.0
167,Saint-Philippe,RE,2021-09-28 23:55:51,-21.3585,55.7679,71.15,76,46,13.91
168,Sur,OM,2021-09-28 23:55:52,22.5667,59.5289,85.08,60,79,3.36
169,Nyimba,ZM,2021-09-28 23:55:53,-14.5566,30.8149,79.66,31,54,2.51
170,Kavieng,PG,2021-09-28 23:55:53,-2.5744,150.7967,84.88,69,49,7.74
171,Hobart,AU,2021-09-28 23:54:59,-42.8794,147.3294,52.27,74,75,1.01
172,Herat,AF,2021-09-28 23:55:53,34.5,62.0,63.97,38,0,8.68
173,Namanga,KE,2021-09-28 23:55:54,-2.5433,36.7905,63.43,72,25,3.44
174,Lebu,CL,2021-09-28 23:55:54,-37.6167,-73.65,48.45,82,85,6.78
175,Talara,PE,2021-09-28 23:55:54,-4.5772,-81.2719,66.96,77,0,11.5
176,Ambikapur,IN,2021-09-28 23:55:54,23.1167,83.2,71.13,94,98,1.3
177,Saint-Pierre,RE,2021-09-28 23:55:55,-21.3393,55.4781,71.24,72,75,5.75
