City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
198,Sipe Sipe,BO,82.89,clear sky,-17.45,-66.3833,Cabañas Oasis Marino
201,Shache,CN,74.25,clear sky,38.4167,77.2406,Delong Hotel
203,Port Keats,AU,78.28,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
204,Makakilo City,US,75.56,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
205,Puerto Baquerizo Moreno,EC,74.39,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
206,Natal,BR,86.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
211,Douentza,ML,98.65,few clouds,14.9951,-2.9517,Ogomono Doumbo
212,Caravelas,BR,83.23,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
214,Faya,SA,68.11,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
215,Omboue,GA,77.72,overcast clouds,-1.5746,9.2618,Hotel Olako
217,Eureka,US,62.2,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
218,Prieska,ZA,72.16,clear sky,-29.6641,22.7474,Avenue GuestHouse
219,Korla,CN,70.52,clear sky,41.7597,86.1469,Gulisitan Hotel
221,Chuy,UY,65.53,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
222,Kramat,ID,72.16,overcast clouds,-8.1311,113.4499,Padepokan HM Arum Sabil
224,Nunchia,CO,82.62,overcast clouds,5.6406,-72.1986,La posada
225,Dahra,DZ,79.99,overcast clouds,36.2546,0.8519,Ein Mtabol
226,Huarmey,PE,69.93,scattered clouds,-10.0681,-78.1522,Hotel Miramar
232,Westport,US,68.2,few clouds,41.1415,-73.3579,The Westport Inn
233,Santa Rosalia,MX,79.41,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
235,Kahului,US,76.26,few clouds,20.8947,-156.47,Maui Seaside Hotel
237,Coari,BR,90.73,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
238,Nishihara,JP,80.65,few clouds,26.1842,127.7558,Minshuku Agaihama
239,Hami,CN,62.94,broken clouds,42.8,93.45,Laoyutang Resort
242,Benito Juarez,MX,71.42,scattered clouds,19.385,-99.165,Hotel Novit
243,Kalmunai,LK,76.26,overcast clouds,7.4167,81.8167,VS Villa
244,Shelburne,CA,63.12,broken clouds,44.0787,-80.2041,The Retreat at the Farm
245,Ampanihy,MG,75.4,clear sky,-24.7,44.75,Angora Hotel
247,Taveta,KE,75.13,broken clouds,-3.3963,37.6736,Challa Hotel
251,Pathein,MM,78.73,moderate rain,16.7833,94.7333,New Pammawaddy Hotel
252,Teixoso,PT,77.2,overcast clouds,40.3145,-7.4576,Casa Isabel Dias
253,Sabha,LY,81.27,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
255,Winnemucca,US,60.85,clear sky,40.973,-117.7357,Winners Inn Casino
257,Geraldton,AU,60.13,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
258,Yaring,TH,80.62,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
262,Iberia,US,84.16,broken clouds,29.9502,-91.7507,back to back rv park
265,Kavieng,PG,81.99,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
