City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Abbeville,FR,50.1,1.8333,60.76,94,100,10.78,overcast clouds
114,Mahebourg,MU,-20.4081,57.7,73.26,78,75,12.66,broken clouds
115,Leningradskiy,RU,69.3833,178.4167,19.65,94,100,6.58,overcast clouds
116,San Cristobal,VE,7.7669,-72.225,80.78,41,64,7.23,broken clouds
117,Banjar,ID,-8.19,114.9675,78.66,82,60,6.29,broken clouds
118,Morgan City,US,29.6994,-91.2068,84.99,79,90,5.75,overcast clouds
119,Sussex,US,41.1834,-74.6663,66.43,58,75,6.91,broken clouds
120,Lavrentiya,RU,65.5833,-171.0,24.6,85,62,9.53,broken clouds
121,Havre,FR,49.5833,0.3333,58.77,77,0,12.66,clear sky
122,Saint George,US,37.1041,-113.5841,74.35,26,1,1.99,clear sky
123,Constitucion,CL,-35.3333,-72.4167,58.19,59,41,12.15,scattered clouds
124,Muncar,ID,-8.4333,114.3333,72.45,88,91,3.22,overcast clouds
125,Xining,CN,36.6167,101.7667,54.55,43,30,1.41,scattered clouds
126,Christchurch,NZ,-43.5333,172.6333,46.02,89,71,1.14,broken clouds
127,Kelo,TD,9.3086,15.8066,79.41,82,85,4.63,overcast clouds
128,Barrow,US,71.2906,-156.7887,30.22,80,90,19.57,light snow
129,Shimoda,JP,34.6667,138.95,64.11,86,18,7.49,few clouds
130,Saint-Philippe,RE,-21.3585,55.7679,72.99,74,36,11.79,scattered clouds
131,Bonavista,CA,48.6499,-53.1147,59.11,95,100,7.29,overcast clouds
132,Cape Town,ZA,-33.9258,18.4232,61.21,63,75,17.27,broken clouds
133,Camacha,PT,33.0833,-16.3333,71.02,68,20,10.36,few clouds
134,Castro,BR,-24.7911,-50.0119,68.56,84,93,6.38,moderate rain
135,Abtenau,AT,47.5637,13.346,60.03,84,85,1.79,overcast clouds
136,Tautira,PF,-17.7333,-149.15,75.22,78,16,19.33,light rain
137,Sitka,US,57.0531,-135.33,51.69,76,90,20.71,moderate rain
138,Tasiilaq,GL,65.6145,-37.6368,42.96,55,40,8.86,scattered clouds
139,Oktyabrskoye,RU,43.0645,44.7417,44.35,93,90,4.47,overcast clouds
140,Wahiawa,US,21.5028,-158.0236,73.76,80,55,6.2,broken clouds
141,Kanchanaburi,TH,14.6333,99.1,77.25,92,35,1.86,light rain
142,Bantva,IN,21.4864,70.0689,78.55,89,22,6.93,few clouds
143,Taoudenni,ML,22.6783,-3.9836,106.07,5,17,4.68,few clouds
144,Winton,US,37.3894,-120.6133,85.33,30,1,3.44,clear sky
